sample	unit	platform	fq1	fq2
B4G10p1s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3A07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3A07.fastq.gz
B4G10p2s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3E07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3E07.fastq.gz
F1G00s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1F03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1F03.fastq.gz
F1G00s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2F03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2F03.fastq.gz
F1G00s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3F03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3F03.fastq.gz
F1G00s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C03.fastq.gz
F1G00s5	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C06.fastq.gz
F1G00s6	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C09.fastq.gz
F1G00s7	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C12.fastq.gz
F1G00s8	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G03.fastq.gz
F2G00s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1A12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1A12.fastq.gz
F2G00s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2A12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2A12.fastq.gz
F2G00s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3A12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3A12.fastq.gz
F2G00s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4D03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4D03.fastq.gz
F2G00s5	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4D06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4D06.fastq.gz
F2G00s6	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4D09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4D09.fastq.gz
F2G00s7	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4D12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4D12.fastq.gz
F2G00s8	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G06.fastq.gz
F3G00s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1F01.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1F01.fastq.gz
F3G00s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2F01.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2F01.fastq.gz
F3G00s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3F01.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3F01.fastq.gz
F3G00s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4E03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4E03.fastq.gz
F3G00s5	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4E06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4E06.fastq.gz
F3G00s6	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4E09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4E09.fastq.gz
F3G00s7	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4E12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4E12.fastq.gz
F3G00s8	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4H03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4H03.fastq.gz
F4G00s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1G11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1G11.fastq.gz
F4G00s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2G11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2G11.fastq.gz
F4G00s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3G11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3G11.fastq.gz
F4G00s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4F03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4F03.fastq.gz
F4G00s5	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4F06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4F06.fastq.gz
F4G00s6	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4F09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4F09.fastq.gz
F4G00s7	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4F12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4F12.fastq.gz
F4G00s8	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4H06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4H06.fastq.gz
M1G01s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1C06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1C06.fastq.gz
M1G01s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2C06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2C06.fastq.gz
M1G01s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3C06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3C06.fastq.gz
