Rep,Group,PopSpecies,PhenotypeSpecies,PhenotypeCageSpecies,PopNumber,X11.Feb,X12.Feb,X13.Feb,X14.Feb,X15.Feb,X16.Feb,X17.Feb,X18.Feb,X19.Feb,X20.Feb,numFlies
B3.BY,6,B,B,B,3,NA,2,1,7,2,0,0,NA,NA,NA,12
B3.MX,6,B,B,M,3,NA,NA,4,3,4,0,0,NA,NA,NA,11
B3.MY,6,B,T,M,3,NA,NA,0,2,2,6,9,0,1,NA,20
B3.TX,6,B,T,T,3,NA,NA,0,0,3,6,3,0,NA,NA,12
B4.BX,6,B,B,B,4,NA,NA,5,11,15,2,1,0,NA,NA,34
B4.BY,6,B,B,B,4,NA,NA,0,3,6,6,2,1,NA,NA,18
B4.MX,6,B,T,M,4,NA,NA,0,0,2,6,3,1,NA,NA,12
B4.MY,6,B,T,M,4,NA,NA,0,0,2,2,4,2,1,NA,11
B4.TX,6,B,T,T,4,NA,NA,0,0,0,0,1,1,NA,NA,2
B4.TY,6,B,T,T,4,NA,NA,0,0,0,0,4,0,NA,NA,4
M3.BX,6,M,B,B,3,NA,NA,1,5,1,0,0,NA,NA,NA,7
M3.BY,6,M,B,B,3,NA,NA,3,12,6,2,1,NA,NA,NA,24
M3.MX,6,M,T,M,3,NA,NA,0,3,0,17,9,0,2,NA,31
M3.MY,6,M,T,M,3,NA,NA,0,4,10,17,5,0,NA,NA,36
M3.TX,6,M,T,T,3,NA,NA,0,0,0,0,1,1,1,NA,3
M3.TY,6,M,T,T,3,NA,NA,0,1,0,3,1,0,NA,NA,5
M4.BX,6,M,B,B,4,NA,1,4,15,7,0,0,NA,NA,NA,27
M4.BY,6,M,B,B,4,NA,3,3,3,2,0,1,NA,NA,NA,12
M4.MX,6,M,T,M,4,NA,NA,0,0,0,2,5,1,1,NA,9
M4.TY,6,M,T,T,4,NA,NA,0,0,0,1,2,0,NA,NA,3
T3.BX,6,T,B,B,3,NA,5,3,3,1,0,0,NA,NA,NA,12
T3.BY,6,T,B,B,3,NA,NA,0,2,4,1,0,NA,NA,NA,7
T3.MX,6,T,B,M,3,NA,3,2,0,1,0,0,NA,NA,NA,6
T3.MY,6,T,B,M,3,NA,NA,0,1,1,0,0,NA,NA,NA,2
T3.TX,6,T,T,T,3,NA,NA,0,1,2,3,5,1,NA,NA,12
T3.TY,6,T,T,T,3,NA,NA,0,0,0,1,5,2,NA,NA,8
T4.BX,6,T,B,B,4,NA,NA,0,1,0,0,1,0,NA,NA,2
T4.BY,6,T,B,B,4,NA,NA,0,1,1,2,1,1,NA,NA,6
T4.MX,6,T,B,M,4,NA,2,3,7,4,1,1,NA,NA,NA,18
T4.MY,6,T,T,M,4,NA,NA,0,0,1,3,3,1,1,NA,9
T4.TX,6,T,T,T,4,NA,NA,0,1,14,3,3,0,NA,NA,21
T4.TY,6,T,T,T,4,NA,NA,0,0,2,1,2,0,NA,NA,5
